t,1uM,1.7uM,4uM
5.125628141,0.2434312362,0.9455277788,0.9999999603
5.175879397,0.2554544947,0.9490136891,0.9999999678
5.226130653,0.2678042549,0.9522826336,0.9999999739
5.27638191,0.2804659514,0.955347115,0.9999999789
5.326633166,0.2934231725,0.9582190871,0.9999999829
5.376884422,0.3066577427,0.9609099483,0.9999999861
5.427135678,0.3201498287,0.963430542,0.9999999887
5.477386935,0.3338780698,0.9657911625,0.9999999909
5.527638191,0.3478197299,0.968001565,0.9999999926
5.577889447,0.3619508689,0.9700709792,0.999999994
5.628140704,0.3762465309,0.9720081255,0.9999999951
5.67839196,0.3906809448,0.973821233,0.9999999961
5.728643216,0.4052277349,0.9755180586,0.9999999968
5.778894472,0.4198601368,0.9771059069,0.9999999974
5.829145729,0.4345512154,0.9785916515,0.9999999979
5.879396985,0.4492740797,0.9799817547,0.9999999983
5.929648241,0.4640020926,0.9812822887,0.9999999986
5.979899497,0.4787090707,0.9824989556,0.9999999989
6.030150754,0.4933694717,0.9836371074,0.9999999991
6.08040201,0.507958567,0.9847017649,0.9999999993
6.130653266,0.5224525966,0.9856976365,0.9999999994
6.180904523,0.5368289058,0.9866291362,0.9999999995
6.231155779,0.5510660616,0.9875004006,0.9999999996
6.281407035,0.5651439485,0.988315305,0.9999999997
6.331658291,0.5790438444,0.9890774797,0.9999999997
6.381909548,0.5927484758,0.9897903239,0.9999999998
6.432160804,0.6062420541,0.9904570207,0.9999999998
6.48241206,0.6195102934,0.9910805496,0.9999999999
6.532663317,0.6325404112,0.9916636996,0.9999999999
6.582914573,0.6453211147,0.9922090808,0.9999999999
6.633165829,0.6578425718,0.9927191359,0.9999999999
6.683417085,0.670096372,0.9931961502,0.9999999999
6.733668342,0.6820754758,0.9936422622,1
6.783919598,0.6937741563,0.9940594723,1
6.834170854,0.7051879342,0.9944496519,1
6.884422111,0.7163135074,0.9948145517,1
6.934673367,0.7271486771,0.9951558093,1
6.984924623,0.7376922717,0.9954749561,1
